striker,average_saves,average_scores,average_assists,average_knockouts,average_mvps,win_rate
Kai,61.17421972246554,0.7037788330029352,2.0361440228666265,1.3404637868240283,0.27387703041199885,0.5604474974259678
Luna,53.59805153991201,1.5475068091347162,1.839409176618479,2.7524093861303163,0.32448145820238844,0.5746909700398073
Dubu,65.58044359844409,0.5609947860630639,1.987916908052636,0.6718323264090044,0.2178473888934867,0.5857196060580981
Juno,51.70617636558372,1.47066523860526,2.1943353564203263,0.45007735332619303,0.32488397001071045,0.5556348923003689
Atlas,70.52675008821693,0.5117939252463288,1.9350723378844223,0.5541109090415569,0.22814255856247115,0.5888276648299449
Estelle,56.95747180451128,1.006265664160401,2.2100563909774436,0.8713972431077694,0.33098370927318294,0.5783991228070176
Rasmus,59.073323932829126,0.6588898859120625,2.1144725035251892,2.1221638251506216,0.26522240738366876,0.563004742981669
Era,54.5208444207912,0.6499911300337059,2.156643604754302,1.585240376086571,0.24960085151676423,0.5767252084442079
Drek'ar,61.69301972685888,0.5872534142640364,2.047040971168437,0.6549317147192716,0.22261001517450682,0.5763277693474962
Finii,56.22704339051463,0.8852169525731585,2.0338042381432895,2.0725277497477297,0.25592835519677093,0.547300706357215
Rune,57.7811481768813,0.817377812257564,2.11311093871218,1.0117920868890613,0.23506594259115593,0.5797517455391776
Octavia,51.03495145631068,1.312621359223301,2.2019417475728154,1.2737864077669903,0.36893203883495146,0.6058252427184466
Vyce,54.47653861491426,1.4747441180380167,1.8533829589259603,2.4320749700917186,0.29974744118038016,0.5416722052372723
Ai.Mi,51.69954819277108,1.3383534136546185,2.1337433065595715,1.6767904953145918,0.3421184738955823,0.5728329986613119
Zentaro,54.466439135381115,1.3310580204778157,1.735494880546075,0.8373151308304891,0.24914675767918087,0.4852104664391354
Juliette,48.632,1.04,1.44,2.092,0.202,0.486
Nao,56.783215072180084,0.7325666748226083,1.9725960362123807,0.5916320039148519,0.22241252752630292,0.5285050159040862
X,55.77831325301205,0.8722891566265061,1.7132530120481928,1.725301204819277,0.20240963855421687,0.5228915662650603
Asher,70.99693991097922,0.5132603857566765,1.9584569732937684,1.0203078635014837,0.2237574183976261,0.5641691394658753
Mako,65.52402908317077,0.5137435715552403,1.7013654903351658,0.7354140805107289,0.14364248980315658,0.5607377194538039
Kazan,57.41419893697798,0.7179195140470767,2.045937737281701,0.835990888382688,0.21602126044039482,0.5971905846621108
Global Average,60.823177823400314,0.8365139884774995,2.008579509636357,1.2378260297939907,0.2633218378017577,0.5703873758162333
